provider_code,event_at,type,amount,location,status,is_injected_anomaly,scenario_label
rocket_sim,2026-07-08T00:01:39Z,cash_out,1900,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:03:48Z,cash_out,4950,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:07:12Z,cash_in,1550,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:07:50Z,cash_out,14150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:09:18Z,cash_in,1650,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:12:22Z,cash_in,950,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:13:34Z,cash_out,5200,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:15:22Z,cash_out,1200,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:15:32Z,cash_in,1450,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:16:29Z,cash_in,900,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:19:06Z,cash_out,3550,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:19:51Z,cash_in,5000,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:21:05Z,cash_in,1400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:22:21Z,cash_out,2550,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:22:41Z,cash_out,700,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:29:09Z,cash_in,8050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:33:02Z,cash_out,2550,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:33:23Z,cash_in,2500,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:35:14Z,cash_in,1300,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:38:17Z,cash_in,2100,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:39:00Z,cash_in,4600,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:46:22Z,cash_out,2100,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T00:50:55Z,cash_out,1050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:55:38Z,cash_out,1200,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T00:57:39Z,cash_out,1400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T00:59:44Z,cash_out,2850,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:02:41Z,cash_out,800,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:05:21Z,cash_in,500,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:07:45Z,cash_out,1000,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T01:08:12Z,cash_out,1350,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:08:18Z,cash_in,1050,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:09:23Z,cash_out,550,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:11:14Z,cash_out,2750,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:14:00Z,cash_out,300,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T01:14:27Z,cash_in,500,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:31:58Z,cash_in,1100,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T01:34:17Z,cash_in,800,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:37:32Z,cash_in,2250,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:39:27Z,cash_in,950,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:42:38Z,cash_in,4100,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:43:03Z,cash_out,3950,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T01:46:06Z,cash_in,1200,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:46:18Z,cash_in,2250,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:53:14Z,cash_out,850,"Shahjalal Uposhahar, Sylhet",completed,0,normal
